"Genotype","PAR","Photoss","simPhotoss"
"rca2",122,5.16764180715841,5.08047071464857
"rca2",426,9.00268955091088,10.5033014034988
"rca2",124,5.24047435679563,5.15644108648856
"rca2",174,6.80932754674425,6.86719705376456
"rca2",420,8.95609350916942,10.4992767658198
"rca2",214,7.71434623815283,7.97827394770256
"rca2",128,5.38375822534676,5.30668580916797
"rca2",164,6.5344596622073,6.55387420337684
"rca2",344,8.54300003407103,10.1612342761926
"rca2",382,8.69983824836178,10.4054169820034
"rca2",208,7.59603409974312,7.82755084110826
"rca2",430,9.03442114294211,10.5046101346081
"rwt43",300,11.2716492383717,10.5777807202341
"rwt43",330,11.8292804962485,11.1211491230406
"rwt43",350,12.09446281541,11.4102138420025
"rwt43",290,11.0462732749929,10.3708131655657
"rwt43",240,9.76637925941432,9.2327051591464
"rwt43",304,11.3580396288716,10.6583974106003
"rwt43",292,11.092085377912,10.4125775254622
"rwt43",280,10.8114575716016,10.1586909826691
"rwt43",312,11.5193616322844,10.8118903926702
"rwt43",320,11.6659168821322,10.955360773983
"rwt43",272,10.6164247479701,9.98440995682317
"rwt43",310,11.4804394966037,10.7744707314796
"rwt43",322,11.7003203354271,10.9897042344607
"rwt43",270,10.566631223273,9.94011663106162
"rwt43",282,10.8592032949173,10.2015900714499
"rwt43",314,11.5573608458672,10.8486836413134
"rwt43",324,11.7338488306759,11.023449213403
"rwt43",342,11.9978149895422,11.301144078178
"rwt43",302,11.3153298766963,10.6184162371968
"rwt43",294,11.1375244584701,10.4541460805534
"rwt43",374,12.3157588171114,11.688906829862
"rwt43",400,12.4543647039945,11.9174752748346
"rwt43",268,10.5164144365814,9.89551331693234
"rwt43",200,8.52459271303639,8.12044204535472
"rwt43",338,11.9448552681926,11.2433758240045
"rwt43",252,10.0988946425192,9.52628158379576
"rwt43",352,12.1167491430973,11.436166630697
"rwt43",232,9.53492782216017,9.0278120825182
"rwt43",230,9.47580128208745,8.975346727868
"rwt43",368,12.2695271885804,11.6257293952542
"rwt43",216,9.04725074626281,8.5930152915209
"rwt43",260,10.3112233250822,9.71379257026048
"rwt43",366,12.2528207893334,11.6037377008929
"rwt43",248,9.98996236730084,9.43014714416384
"rwt43",384,12.3804285359163,11.7852122314291
"rwt43",276,10.7147602803385,10.0721081645385
"rwt43",236,9.65165535091579,9.13123152857909
"rwt43",246,9.93478826086953,9.38144885661447
"rwt43",348,12.0714358290211,11.3837407786057
"rwt43",262,10.3631788321458,9.75973964109937
"rwt43",486,12.4253182805384,12.2825011883237
"rwt43",550,12.2554768532032,12.3610735599031
"rwt43",40,1.47013986098091,1.54516486921318
"rwt43",424,12.5067031925737,12.0710892751539
"rwt43",82,3.64293222398736,3.5932936022299
"rwt43",428,12.5095784634514,12.0920407260916
"rwt43",206,8.72483724171377,8.30242130153265
"rwt43",168,7.37857317358741,7.07067915557871
"rwt43",346,12.0476585911205,11.3567418543043
"rwt43",164,7.22617734244924,6.93038085048547
"rwt43",214,8.98387946922713,8.53611852904273
"rwt43",416,12.4962472117041,12.0253786610838
"rwt43",388,12.4021862072847,11.8207181238052
"rwt43",210,8.85547891382338,8.42051271145489
"rwt43",380,12.3563605408444,11.7480051020049
"rwt43",166,7.30263239935024,7.00078680726475
"rwt43",376,12.3299054795862,11.7090520459137
"rwt43",174,7.60332094730046,7.27729092311146
"rwt43",392,12.421710297432,11.8545674687522
"rwt43",378,12.3434361898937,11.7287496078939
"rwt43",170,7.4540007798592,7.14005953276563
"rwt43",430,12.5104614938371,12.1020600392444
"rwt43",122,5.50001824305522,5.33058192908407
"spsa",300,10.235362648283,10.2588234190319
"spsa",338,10.565938363955,10.8878961112968
